C006168|Lateral Acceleration Sensor Algorithm Based Failures Event information;
B156995|Pedestrian Protection Pressure Tube Sensor Left Component Failures Incorrect assembly;
B156996|Pedestrian Protection Pressure Tube Sensor Left Component Failures Component internal failure;
B156A11|Pedestrian Protection Pressure Tube Sensor Right General Electrical Failures Circuit short to ground;
B156A12|Pedestrian Protection Pressure Tube Sensor Right General Electrical Failures Circuit short to battery;
B156A13|Pedestrian Protection Pressure Tube Sensor Right General Electrical Failures Circuit open;
B156A64|Pedestrian Protection Pressure Tube Sensor Right Algorithm Based Failures Signal plausibility failure;
B156A81|Pedestrian Protection Pressure Tube Sensor Right Bus Signal / Message Failures Invalid serial data received;
B156A95|Pedestrian Protection Pressure Tube Sensor Right Component Failures Incorrect assembly;
B156A96|Pedestrian Protection Pressure Tube Sensor Right Component Failures Component internal failure;
B15D912|Seat Belt Reminder Sensor Second Row Middle General Electrical Failures Circuit short to battery;
B15D964|Seat Belt Reminder Sensor Second Row Middle Algorithm Based Failures Signal plausibility failure;
B15DA12|Seat Belt Reminder Sensor Second Row Left General Electrical Failures Circuit short to battery;
B15DA64|Seat Belt Reminder Sensor Second Row Left Algorithm Based Failures Signal plausibility failure;
B15DB12|Seat Belt Reminder Sensor Second Row Right General Electrical Failures Circuit short to battery;
B15DB64|Seat Belt Reminder Sensor Second Row Right Algorithm Based Failures Signal plausibility failure;
B15DD16|Occupant Classification System General Electrical Failures Circuit voltage below threshold;
B15DD17|Occupant Classification System General Electrical Failures Circuit voltage above threshold;
B15DD49|Occupant Classification System System Internal Failures Internal electronic failure;
B15DD68|Occupant Classification System Algorithm Based Failures Event information;
B15DD83|Occupant Classification System Bus Signal / Message Failures Value of signal protection calculation incorrect;
B15DD95|Occupant Classification System Component Failures Incorrect assembly;
B15DD96|Occupant Classification System Component Failures Component internal failure;
B15DD9A|Occupant Classification System Component Failures Component or System Operating Conditions;
B15DE11|Belt Tension Sensor General Electrical Failures Circuit short to ground;
B15DE12|Belt Tension Sensor General Electrical Failures Circuit short to battery;
B15DE13|Belt Tension Sensor General Electrical Failures Circuit open;
B15DF49|Occupant Weight Sensor System Internal Failures Internal electronic failure;
B15DF54|Occupant Weight Sensor System Programming Failures Missing calibration;
B15DF83|Occupant Weight Sensor Bus Signal / Message Failures Value of signal protection calculation incorrect;
B15DF96|Occupant Weight Sensor Component Failures Component internal failure;
B15E762|Odometer Backup Data Algorithm Based Failures Signal compare failure;
B160711|High voltage battery 2 power supply disconnect deployment loop control  General Electrical Failures Circuit short to ground;
B160712|High voltage battery 2 power supply disconnect deployment loop control  General Electrical Failures Circuit short to battery;
B16071A|High voltage battery 2 power supply disconnect deployment loop control  General Electrical Failures Circuit resistance below threshold;
B16071B|High voltage battery 2 power supply disconnect deployment loop control  General Electrical Failures Circuit resistance above threshold;
B160764|High voltage battery 2 power supply disconnect deployment loop control  Algorithm Based Failures Signal plausibility failure;
B160795|High voltage battery 2 power supply disconnect deployment loop control  Component Failures Incorrect assembly;
B160811|High voltage battery 3 power supply disconnect deployment loop control  General Electrical Failures Circuit short to ground;
B160812|High voltage battery 3 power supply disconnect deployment loop control  General Electrical Failures Circuit short to battery;
B16081A|High voltage battery 3 power supply disconnect deployment loop control  General Electrical Failures Circuit resistance below threshold;
B16081B|High voltage battery 3 power supply disconnect deployment loop control  General Electrical Failures Circuit resistance above threshold;
B160864|High voltage battery 3 power supply disconnect deployment loop control  Algorithm Based Failures Signal plausibility failure;
B160895|High voltage battery 3 power supply disconnect deployment loop control  Component Failures Incorrect assembly;
B169B29|Pedestrian Protection Pressure Tube Sensor General Signal Failures Signal signal invalid;
B16B812|Driver Occupant Detection Sensor General Electrical Failures Circuit short to battery;
B16B864|Driver Occupant Detection Sensor Algorithm Based Failures Signal plausibility failure;
B16B912|Seat Belt Reminder Sensor Third Row Left General Electrical Failures Circuit short to battery;
B16B964|Seat Belt Reminder Sensor Third Row Left Algorithm Based Failures Signal plausibility failure;
B16BA12|Seat Belt Reminder Sensor Third Row Right General Electrical Failures Circuit short to battery;
B16BA64|Seat Belt Reminder Sensor Third Row Right Algorithm Based Failures Signal plausibility failure;
B1A5512|Crash Record Output General Electrical Failures Circuit short to battery;
B1A5514|Crash Record Output General Electrical Failures Circuit short to ground or open;
B1D7411|Passenger Airbag Cutoff Enable Switch General Electrical Failures Circuit short to ground;
B1D7412|Passenger Airbag Cutoff Enable Switch General Electrical Failures Circuit short to battery;
B1D7413|Passenger Airbag Cutoff Enable Switch General Electrical Failures Circuit open;
B1D741D|Passenger Airbag Cutoff Enable Switch General Electrical Failures Circuit current out of range;
B1D7495|Passenger Airbag Cutoff Enable Switch Component Failures Incorrect assembly;
B1D7511|Passenger Airbag Cutoff Disable Switch General Electrical Failures Circuit short to ground;
B1D7512|Passenger Airbag Cutoff Disable Switch General Electrical Failures Circuit short to battery;
B1D7513|Passenger Airbag Cutoff Disable Switch General Electrical Failures Circuit open;
B1D751D|Passenger Airbag Cutoff Disable Switch General Electrical Failures Circuit current out of range;
B1D7595|Passenger Airbag Cutoff Disable Switch Component Failures Incorrect assembly;
U006401|Propulsion CAN  General electrical failure;
U006488|Propulsion CAN Bus Signal / Message Failures Bus off;
U012A00|Lost Communication With Vehicle Dynamics Domain Master VDDM  ;
U014000|Lost Communication With Central Electronic Module CEM  ;
U122000|FlexRay Cluster startup error  ;
U130086|LIN Bus #1 Bus Signal / Message Failures Signal invalid;
U134083|Occupant Weight Sensor (OWS) Bus Signal / Message Failures Value of signal protection calculation incorrect;
U134087|Occupant Weight Sensor (OWS) Bus Signal / Message Failures Missing message;
U140582|Seat Module Driver (SMD) Bus Signal / Message Failures Alive / sequence counter incorrect / not updated;
U140682|Seat Module Passenger (SMP) Bus Signal / Message Failures Alive / sequence counter incorrect / not updated;
U200A14|Control Module Internal Power A General Electrical Failures Circuit short to ground or open;
U200B14|Control Module Internal Power B General Electrical Failures Circuit short to ground or open;
U210156|Control Module Configuration Incompatible System Programming Failures Invalid / incompatible configuration;
U230051|Central Configuration System Programming Failures Not programmed;
U230054|Central Configuration System Programming Failures Missing calibration;
U230055|Central Configuration System Programming Failures Not configured;
U230056|Central Configuration System Programming Failures Invalid / incompatible configuration;
U230057|Central Configuration System Programming Failures Invalid / Incompatible Software Component;
U2C3681|Invalid Data Received in Vehicle Speed Signal Bus Signal / Message Failures Invalid serial data received;
U2C8692|Invalid Data Received in RdyPostImpctBrkg Component Failures Performance or incorrect operation;
U2D3683|Corrupted Data Received in Vehicle Speed Signal Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2D3D83|Corrupted Data Received in VehMtnStSafe Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2D8A83|Corrupted Data Received in ObjThreat Bus Signal / Message Failures Value of signal protection calculation incorrect;
U2E0368|ECU Supply Voltage Too High  Algorithm Based Failures Event information;
U2E0468|ECU Supply Voltage Too Low Algorithm Based Failures Event information;
U300000|Control Module  ;
U300001|Control Module  General electrical failure;
U300002|Control Module  General signal failure;
U300004|Control Module  System Internal Failures;
U300041|Control Module System Internal Failures General checksum failure;
U300057|Control Module System Programming Failures Invalid / Incompatible Software Component;
U300097|Control Module Component Failures Component or system operation obstructed or blocked;
U300362|Supply Voltage Algorithm Based Failures Signal compare failure;
